o2used,comrte,tothired,totmembers,camps,year,success,ratio_hired,season_Spring,season_Summer,season_Winter,peakid_Autre,peakid_BARU,peakid_CHOY,peakid_DHA1,peakid_EVER,peakid_LHOT,peakid_MAKA,peakid_MANA
0,0,2,8,4,1988,0,0.25,0,0,1,1,0,0,0,0,0,0,0
0,0,3,5,3,1988,1,0.6,0,0,1,1,0,0,0,0,0,0,0
0,0,1,2,0,1988,1,0.5,0,0,1,1,0,0,0,0,0,0,0
0,0,2,3,0,1988,0,0.6666666666666666,0,0,1,1,0,0,0,0,0,0,0
0,0,0,7,2,1988,0,0.0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,16,0,1988,1,0.0,0,1,0,1,0,0,0,0,0,0,0
0,1,0,2,0,1988,1,0.0,0,1,0,0,0,1,0,0,0,0,0
1,1,10,17,4,1988,0,0.5882352941176471,0,0,1,0,0,0,0,1,0,0,0
1,0,0,5,3,1988,1,0.0,0,0,1,0,0,0,0,0,1,0,0
0,0,7,11,4,1988,0,0.6363636363636364,0,0,1,0,0,0,0,1,0,0,0
0,0,3,6,3,1983,1,0.5,0,0,0,1,0,0,0,0,0,0,0
0,0,4,15,3,1983,0,0.26666666666666666,0,0,0,0,0,0,1,0,0,0,0
0,0,0,2,0,1983,1,0.0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,7,2,1983,0,0.0,0,0,0,0,0,0,1,0,0,0,0
0,0,3,6,3,1983,1,0.5,0,0,0,1,0,0,0,0,0,0,0
0,0,2,9,3,1983,0,0.2222222222222222,0,0,0,1,0,0,0,0,0,0,0
1,0,4,10,3,1983,1,0.4,0,0,0,1,0,0,0,0,0,0,0
0,0,0,4,2,1983,0,0.0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,4,3,1983,0,0.25,0,0,0,0,0,0,0,0,0,1,0
1,0,1,8,0,1983,1,0.125,0,0,0,1,0,0,0,0,0,0,0
0,0,1,5,0,1983,0,0.2,0,0,0,1,0,0,0,0,0,0,0
0,0,0,4,0,1983,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,5,0,1983,1,0.0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,3,5,1983,0,0.0,0,0,0,1,0,0,0,0,0,0,0
0,1,2,3,3,1983,1,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,1
0,0,3,5,3,1983,0,0.6,0,0,0,0,0,0,0,0,0,0,1
0,0,4,9,0,1983,0,0.4444444444444444,0,0,0,1,0,0,0,0,0,0,0
